8191	7057
8191	7057
8191	7063
8191	7062
8191	7064
8191	7064
8191	7065
8191	7065
8191	7065
8191	7067
8191	7067
8191	7069
8191	7070
8191	7071
8191	7072
8191	7074
8191	7075
8191	7076
8191	7078
8191	7080
8191	7080
8191	7082
8191	7085
8191	7087
8191	7089
8191	7089
8191	7089
8191	7095
8191	7095
8191	7098
8191	7100
8191	7101
8191	7106
8191	7108
8191	7111
8191	7114
8191	7116
8191	7119
8191	7122
8191	7124
8191	7127
8191	7127
8191	7132
8191	7135
8191	7135
8191	7139
8191	7142
8191	7144
8191	7148
8191	7150
8191	7150
8191	7156
8191	7159
8191	7162
8191	7166
8191	7168
8191	7172
8191	7176
8191	7176
8191	7179
8191	7182
8191	7182
8191	7182
8191	7182
8191	7197
8191	7200
8191	7204
8191	7208
8191	7214
8191	7219
8191	7221
8191	7224
8191	7224
8191	7231
8191	7233
8191	7237
8191	7240
8191	7242
8191	7246
8191	7250
8191	7250
8191	7252
8191	7256
8191	7260
8191	7266
8191	7270
8191	7274
8191	7278
8191	7281
8191	7287
8191	7291
8191	7295
8191	7300
8191	7300
8191	7300
8191	7300
8191	7314
8191	7320
8191	7324
8191	7329
8191	7333
8191	7337
8191	7343
8191	7347
8191	7358
8191	7362
8191	7366
8191	7371
8191	7376
8191	7381
8191	7387
8191	7391
8191	7397
8191	7401
8191	7406
8191	7413
8191	7413
8191	7417
8191	7422
8191	7428
8191	7438
8191	7444
8191	7448
8191	7453
8191	7453
8191	7462
8191	7467
8191	7467
8191	7472
8191	7476
8191	7480
8191	7489
8191	7494
8191	7499
8191	7499
8191	7505
8191	7510
8191	7522
8191	7522
8191	7527
8191	7542
8191	7551
8191	7556
8191	7562
8191	7562
8191	7575
8191	7581
8191	7588
8191	7594
8191	7598
8191	7605
8191	7610
8191	7615
8191	7615
8191	7627
8191	7632
8191	7640
8191	7645
8191	7651
8191	7651
8191	7651
8191	7651
8191	7651
8191	7676
8191	7681
8191	7687
8191	7693
8191	7702
8191	7707
8191	7712
8191	7717
8191	7717
8191	7726
8191	7733
8191	7737
8191	7742
8191	7749
8191	7754
8191	7760
8191	7767
8191	7773
8191	7779
8191	7785
8191	7785
8191	7791
8191	7796
8191	7803
8191	7814
8191	7820
8191	7820
8191	7833
8191	7840
8191	7847
8191	7853
8191	7853
8191	7862
8191	7869
8191	7877
8191	7895
8191	7906
8191	7913
8191	7920
8191	7927
8191	7934
8191	7934
8191	7934
8191	7947
8191	7953
8191	7959
8191	7967
8191	7973
8191	7987
8191	7993
8191	8000
8191	8009
8191	8016
8191	8022
8191	8031
8191	8038
8191	8045
8191	8052
8191	8059
8191	8065
8191	8072
8191	8080
8191	8080
8191	8080
8191	8080
8191	8080
8191	8080
8191	8119
8191	8128
8191	8137
8191	8156
8191	8165
8191	8173
8191	8181
8191	8191
8191	6
8191	13
8191	22
8191	29
8191	35
8191	45
8191	45
8191	45
8191	59
8191	68
8191	75
8191	90
8191	97
8191	103
8191	111
8191	118
8191	124
8191	131
8191	138
8191	144
8191	153
8191	153
8191	159
8191	166
