	0	0.000
1049	5	0.000
1059	5	0.000
1059	4	0.000
1059	5	0.000
1198	5	0.000
1210	5	0.000
1098	5	0.000
1082	5	0.000
1060	4	0.000
1074	5	0.000
1400	5	0.000
1240	5	0.000
1108	5	0.000
1108	5	0.000
1085	4	0.000
1107	5	0.000
1427	5	0.000
1258	5	0.000
1131	5	0.000
1101	5	0.000
1104	5	0.000
1103	5	0.000
1099	5	0.000
1103	5	0.000
1090	5	0.000
1080	5	0.000
1094	5	0.000
1104	5	0.000
1117	5	0.000
1100	5	0.000
1125	5	0.000
1111	5	0.000
1122	5	0.000
1108	5	0.000
1130	5	0.000
1120	5	0.000
1117	5	0.000
1117	5	0.000
1131	5	0.000
1130	5	0.000
1113	5	0.000
1128	6	0.000
1113	5	0.000
776	5	0.000
983	5	0.000
1096	5	0.000
1112	5	0.000
1128	5	0.000
1112	5	0.000
1128	5	0.000
1097	6	0.000
1114	6	0.000
796	5	0.000
653	5	0.000
925	5	0.000
1071	6	0.000
1088	6	0.000
751	6	0.000
624	6	0.000
573	5	0.000
559	4	0.000
890	5	0.000
1364	6	0.000
1221	6	0.000
765	6	0.000
619	5	0.000
569	4	0.000
889	5	0.000
1372	6	0.000
1196	6	0.000
773	6	0.000
616	5	0.000
549	5	0.000
858	5	0.000
1003	5	0.000
1039	6	0.000
1052	6	0.000
684	5	0.000
556	5	0.000
868	5	0.000
977	5	0.000
1024	5	0.000
1040	5	0.000
1022	5	0.000
1038	5	0.000
1047	5	0.000
1037	5	0.000
1037	5	0.000
1047	5	0.000
1028	5	0.000
1019	5	0.000
1029	5	0.000
1011	5	0.000
1029	5	0.000
1030	5	0.000
1011	5	0.000
1021	5	0.000
1033	5	0.000
1025	5	0.000
990	5	0.000
1018	5	0.000
1000	5	0.000
1029	5	0.000
1012	5	0.000
1035	5	0.000
1029	5	0.000
1023	5	0.000
1005	5	0.000
999	5	0.000
1049	5	0.000
1014	5	0.000
1025	5	0.000
995	5	0.000
1051	5	0.000
1002	5	0.000
1030	4	0.000
985	4	0.000
1333	5	0.000
1491	5	0.000
1196	5	0.000
1069	5	0.000
1019	5	0.000
1000	5	0.000
1017	5	0.000
1014	5	0.000
1029	5	0.000
1012	5	0.000
1027	5	0.000
1009	5	0.000
1009	5	0.000
1024	5	0.000
1024	5	0.000
1007	5	0.000
1007	5	0.000
990	5	0.000
990	5	0.000
1005	4	0.000
1007	5	0.000
1359	5	0.000
1167	5	0.000
1073	5	0.000
1025	5	0.000
994	5	0.000
996	5	0.000
1012	5	0.000
1014	5	0.000
1013	5	0.000
1016	4	0.000
1015	4	0.000
1341	5	0.000
1492	5	0.000
1203	5	0.000
1058	5	0.000
993	4	0.000
1010	4	0.000
1324	5	0.000
1476	5	0.000
1216	5	0.000
1040	4	0.000
1010	4	0.000
1329	5	0.000
1472	6	0.000
1189	6	0.000
723	4	0.000
572	4	0.000
1177	3	0.000
1460	5	0.000
1871	6	0.000
1371	6	0.000
755	5	0.000
574	4	0.000
816	3	0.000
1308	3	0.000
1537	5	0.000
2028	6	0.000
1410	6	0.000
795	5	0.000
609	3	0.000
868	3	0.000
1624	4	0.000
1983	6	0.000
1770	6	0.000
957	5	0.000
643	4	0.000
846	3	0.000
1318	4	0.000
1835	5	0.000
1735	5	0.000
1273	5	0.000
1090	5	0.000
1053	4	0.000
1043	5	0.000
1360	5	0.000
1192	5	0.000
1055	5	0.000
1048	4	0.000
1037	5	0.000
1369	5	0.000
1192	5	0.000
1100	4	0.000
1047	4	0.000
1366	4	0.000
1529	5	0.000
1571	5	0.000
1282	5	0.000
1113	5	0.000
1076	5	0.000
1076	5	0.000
1054	4	0.000
1032	5	0.000
1394	5	0.000
1204	5	0.000
1090	5	0.000
1053	4	0.000
1056	4	0.000
1371	4	0.000
1556	5	0.000
1594	5	0.000
1265	5	0.000
1123	5	0.000
1092	4	0.000
1073	4	0.000
1180	4	0.000
1565	5	0.000
1596	5	0.000
1275	5	0.000
1146	5	0.000
1096	5	0.000
1081	5	0.000
1079	5	0.000
1048	4	0.000
1078	4	0.000
1414	5	0.000
1572	5	0.000
1270	5	0.000
1142	5	0.000
1095	4	0.000
1094	4	0.000
1416	4	0.000
1577	5	0.000
1610	5	0.000
1304	4	0.000
1148	4	0.000
1437	4	0.000
1583	5	0.000
1632	5	0.000
1298	5	0.000
1166	5	0.000
1141	5	0.000
1107	5	0.000
1113	4	0.000
1112	4	0.000
1444	4	0.000
1594	4	0.000
1634	5	0.000
1669	4	0.000
1328	4	0.000
1510	5	0.000
1611	5	0.000
1321	5	0.000
1187	5	0.000
1156	5	0.000
1132	5	0.000
1120	4	0.000
1131	4	0.000
1469	5	0.000
1620	5	0.000
1344	5	0.000
1192	5	0.000
1157	5	0.000
1115	5	0.000
1145	5	0.000
1123	5	0.000
1129	5	0.000
1120	4	0.000
1127	5	0.000
1453	5	0.000
1292	4	0.000
1173	4	0.000
1475	5	0.000
1631	5	0.000
1318	5	0.000
1189	5	0.000
1153	5	0.000
1144	5	0.000
1144	5	0.000
1135	5	0.000
1146	5	0.000
1136	5	0.000
1138	5	0.000
1149	5	0.000
1138	5	0.000
1131	5	0.000
1123	5	0.000
1127	5	0.000
1127	5	0.000
1132	5	0.000
1132	5	0.000
1138	5	0.000
1132	5	0.000
